PracticeCode,GPPracticeName,PracticeListSize,AddressLine1,AddressLine2,AddressLine3,AddressLine4,Postcode,TelephoneNumber,PracticeType,Dispensing,HB,HSCP,DataZone,GPCluster
10746,Coupar Angus Medical Centre,5980,Coupar Angus Medical Centre,Candlehouse Lane,Coupar Angus,Perthshire,PH13 9DD,,17J,N,S08000030,S37000033,S01011969,Strathmore Cluster
10835,The Red Practice,4171,The Red Practice,Crieff Medical Centre,King Street,Crieff,PH7 3SA,01764   652   456,17J,N,S08000030,S37000033,S01011870,Strathearn Cluster
11005,Park Avenue Medical Centre,4840,Park Avenue Medical Centre,Park Avenue,Dundee,,DD4 6PP,01382   462   222,17J,N,S08000030,S37000007,S01007729,Dundee 1
11058,Tay Court Surgery,9458,Tay Court Surgery,50 South Tay Street,Dundee,,DD1 1PF,01382   228   228,17J,N,S08000030,S37000007,S01007691,Dundee 4
11096,Ancrum One,4906,Ancrum One,Ancrum Medical Centre,12 Ancrum Road,Dundee,DD2 2HZ,01382   669   500,17J,N,S08000030,S37000007,S01007835,Dundee 3
11128,Taybank Medical Centre,9452,Taybank Medical Centre,10 Robertson Street,Dundee,,DD4 6EL,01382   461   588,17J,N,S08000030,S37000007,S01007732,Dundee 2
11166,Coldside Medical Practice,9211,Coldside Medical Practice,129 Strathmartine Road,Dundee,,DD3 8DB,01382   880   900,17J,N,S08000030,S37000007,S01007718,Dundee 3
11171,Westgate Medical Practice,12831,Westgate Medical Practice,Westgate Health Centre,Charleston Drive,Dundee,DD2 4AD,01382   668   189,17J,N,S08000030,S37000007,S01007844,Dundee 4
11221,Newfield Medical Group,4669,Newfield Medical Group,The Crescent,71 Lothian Crescent,DUNDEE,DD4 0HU,01382   432   030,17J,N,S08000030,S37000007,S01007784,Dundee 1
11289,Princes Street Surgery,8973,Princes Street Surgery,155 Princes Street,Dundee,,DD4 6DG,01382   461   090,17J,N,S08000030,S37000007,S01007709,Dundee 2
11306,Broughty Family Healthcare,9303,Broughty Family Healthcare,103 Brown Street,Broughty Ferry,Dundee,DD5 1EP,01382   731   331,17J,N,S08000030,S37000007,S01007759,Dundee 2
11363,Hawkhill Medical Centre,11872,Hawkhill Medical Centre,Hawkhill,Dundee,,DD1 5LA,01382   669   589,17J,N,S08000030,S37000007,S01007693,Dundee 4
11382,Family Medical Group,9407,Family Medical Group,Wallacetown Health Centre,Lyon Street,Dundee,DD4 6RB,01382   459   519,17J,N,S08000030,S37000007,S01007727,Dundee 1
11486,Erskine Practice,7680,Erskine Practice,Arthurstone Medical Centre,39 Arthurstone Terrace,Dundee,DD4 6QY,01382   458   333,17J,N,S08000030,S37000007,S01007728,Dundee 1
11645,Mill Practice,8561,Mill Practice,Arthurstone Medical Practice,39 Arthurstone Terrace,Dundee,DD4 6QY,01382   456   700,17J,N,S08000030,S37000007,S01007728,Dundee 1
11650,Terra Nova Medical Practice LLP,6145,Terra Nova Medical Practice LLP,Terra Nova House,43 Dura Street,Dundee,DD4 6SW,01382   451   100,17J,N,S08000030,S37000007,S01007728,Dundee 1
11823,Downfield Surgery,8622,Downfield Surgery,325 Strathmartine Road,Dundee,,DD3 8NE,01382   812   111,17J,N,S08000030,S37000007,S01007823,Dundee 3
11861,Hillbank Health Centre,7948,Hillbank Health Centre,1a Constitution Street,Dundee,,DD3 6NF,01382   221   976,17J,N,S08000030,S37000007,S01007716,Dundee 3
11931,Maryfield Medical Centre,6873,Maryfield Medical Centre,28 Mains Loan,Dundee,,DD4 7AA,01382   462   292,2C,N,S08000030,S37000007,S01007733,Dundee 1
12210,Ancrum Medical Centre,3569,Ancrum Medical Centre,12 Ancrum Road,Dundee,,DD2 2HZ,01382   669   316,17J,N,S08000030,S37000007,S01007835,Dundee 3
12281,Nethergate Medical Centre,7766,Nethergate Medical Centre,2 Tay Square,Dundee,,DD1 1PB,01382   221   527,17J,N,S08000030,S37000007,S01007691,Dundee 4
12831,Lochee Health Centre,4076,Lochee Health Centre,1 Marshall Street,Dundee,,DD2 3BR,01382   611   283,2C,N,S08000030,S37000007,S01007853,Dundee 3
13049,Craigvinean Surgery,4115,Craigvinean Surgery,Little Dunkeld,Dunkeld,,PH8 0AD,01350   727   269,17J,N,S08000030,S37000033,S01012008,North West Perthshire
13091,Edzell Health Centre,2716,Edzell Health Centre,High Street,Edzell,,DD9 7TA,01356   648   209,17C,N,S08000030,S37000003,S01007283,North East/Angus
13142,The Carse Medical Practice,3359,The Carse Medical Practice,Westleys,ERROL,Perth & Kinross,PH2 7TD,01821   642   248,17J,N,S08000030,S37000033,S01011962,Kinross/Errol/Bridge of Earn
13195,Ravenswood Surgery,4522,Ravenswood Surgery,New Road,Forfar,,DD8 2AE,01307   463   558,17J,N,S08000030,S37000003,S01007259,North West Angus
13231,Academy Medical Centre,9314,Academy Medical Centre,Academy Street,Forfar,,DD8 2HA,01307   462   316,17J,N,S08000030,S37000003,S01007256,North West Angus
13284,Lour Road Group Practice,7177,Lour Road Group Practice,3 Lour Road,Forfar,,DD8 2AS,01307   463   122,17J,N,S08000030,S37000003,S01007258,North West Angus
13369,Invergowrie Medical Practice,1876,Invergowrie Medical Practice,30 Errol Road,Invergowrie,,DD2 5AD,01382   562   271,17C,N,S08000030,S37000033,S01011968,Dundee 3
13481,St Serf's Practice,9837,St Serf's Practice,Loch Leven Health Centre,Muirs,Kinross,KY13 8FP,01577   862   112,17J,N,S08000030,S37000033,S01011834,Kinross/Errol/Bridge of Earn
13496,Orwell Practice,4228,Orwell Practice,Loch Leven Health Centre,Muirs,Kinross,KY13 8FP,01577   862   112,17J,N,S08000030,S37000033,S01011834,Kinross/Errol/Bridge of Earn
13532,Kirriemuir Medical Practice,8856,Kirriemuir Medical Practice,Tannage Brae,Kirriemuir,Angus,DD8 4ES,01575   573   333,17J,N,S08000030,S37000003,S01007273,North West Angus
13571,Monifieth Medical Practice,11164,Monifieth Health Centre,Victoria Street,Monifieth,,DD5 4LX,01382   534   301,17J,N,S08000030,S37000003,S01007150,Angus South West
13621,Townhead Practice,6957,Townhead Practice,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   676   161,17J,N,S08000030,S37000003,S01007211,North East/Angus
13660,Castlegait Surgery,4788,Castlegait Surgery,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   672   554,17J,N,S08000030,S37000003,S01007211,North East/Angus
13706,Annat Bank Practice,6007,Annat Bank Practice,Links Health Centre,Frank Wood Way,Montrose,DD10 8TY,01674   673   400,17J,N,S08000030,S37000003,S01007211,North East/Angus
13848,Kings Practice,6560,Kings Practice,Glover Street Medical Centre,133 Glover Street,Perth,PH2 0JB,01738   621   844,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
13891,"Green Practice, Whitefriars Surgery",9287,"Green Practice, Whitefriars Surgery",Whitefriars Street,Perth,,PH1 1PP,01738   627   912,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
13941,Victoria Practice,10876,Victoria Practice,Glover Street Medical Centre,133 Glover Street,Perth,PH2 0JB,01738   639   748,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
13975,The Lade Medical Practice,3658,The Lade Medical Practice,North Methven Street,PERTH,,PH1 5PD,01738   622   421,17J,N,S08000030,S37000033,S01011937,Perth City Cluster
14037,The Taymount Surgery,15949,The Taymount Surgery,1 Taymount Terrace,Perth,,PH1 1NU,01738   627   117,17J,N,S08000030,S37000033,S01011898,Perth City Cluster
14249,"Red Practice, Whitefriars Surgery",7060,"Red Practice, Whitefriars Surgery",Whitefriars Street,Perth,,PH1 1PP,01738   625   842,17J,N,S08000030,S37000033,S01011893,Perth City Cluster
14291,Perth City Medical Centre,9480,Perth City Medical Centre,Caledonian Road,Perth,,PH2 8HH,01738   628   234,17J,N,S08000030,S37000033,S01011943,Perth City Cluster
14342,"Yellow Practice, Drumhar Health Centre",6491,"Yellow Practice, Drumhar Health Centre",North Methven Street,Perth,,PH1 5PD,01738   621   726,17J,N,S08000030,S37000033,S01011937,Perth City Cluster
14501,Atholl Medical Centre,4923,Atholl Medical Centre,Ferry Road,Pitlochry,Perthshire,PH16 5FG,01796   472   558,17J,N,S08000030,S37000033,S01012010,North West Perthshire
14569,Stanley Medical Centre,4276,Stanley Medical Centre,43 Shielhill Place,Stanley,Perthshire,PH1 4NN,01738   828   294,17J,N,S08000030,S37000033,S01011996,North West Perthshire
16013,Roxburgh Street Surgery,3604,Roxburgh Street Surgery,10 Roxburgh Street,Galashiels,,TD1 1PF,01896   752   557,17J,N,S08000016,S37000025,S01012275,Borders central
16032,Jedburgh Medical Practice,6920,Jedburgh Medical Practice,The Health Centre,Queen Street,Jedburgh,TD8 6EN,01835   863   361,17J,N,S08000016,S37000025,S01012352,Borders east
16047,Newcastleton Medical Practice,1616,Newcastleton Medical Practice,Moss Road,Newcastleton,,TD9 0RU,01387   375   100,17J,Y,S08000016,S37000025,S01012354,Borders south
16051,Eildon Surgery,6974,Eildon Surgery,Auction Market,Newtown St Boswells,,TD6 0PP,01835   822   777,17J,N,S08000016,S37000025,S01012344,Borders central
16066,Merse Medical Practice,6609,Merse Medical Practice,Knoll Health Centre,Station Road,Duns,TD11 3EL,01361   885   030,17J,N,S08000016,S37000025,S01012305,Borders east
16085,Selkirk Medical Practice,7398,Selkirk Medical Practice,The Health Centre,Viewfield Lane,Selkirk,TD7 4LJ,01750   216   74,17J,N,S08000016,S37000025,S01012384,Borders south
16121,St Ronan's Practice,4774,St Ronan's Practice,St Ronan's Health Centre,Innerleithen,,EH44 6QE,01896   830   203,17J,N,S08000016,S37000025,S01012266,Borders West
16136,Kelso Medical Group,11890,Kelso Medical Group,Kelso Health Centre,Inch Road,Kelso,TD5 7LF,01573   224   424,17J,N,S08000016,S37000025,S01012337,Borders east
16141,O'Connell Street Medical Practice,6060,O'Connell Street Medical Practice,O'Connell Street Medical Centre,O'Connell Street,Hawick,TD9 9HU,01450   372   276,17J,N,S08000016,S37000025,S01012363,Borders south
16160,The Neidpath Practice,6037,The Neidpath Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721   720   380,17J,N,S08000016,S37000025,S01012253,Borders West
16174,West Linton Medical Practice,3961,West Linton Medical Practice,The Health Centre,Deanfoot Road,West Linton,EH46 7EX,01968   660   808,17J,N,S08000016,S37000025,S01012246,Borders West
16193,The Ellwyn Practice,3010,The Ellwyn Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   355,17J,N,S08000016,S37000025,S01012285,Borders central
16206,Coldstream Medical Practice,3859,Coldstream Medical Practice,The Health Centre,Kelso Road,Coldstream,TD12 4LQ,01890   882   711,17J,N,S08000016,S37000025,S01012324,Borders east
16211,The Tweed Practice,6003,The Tweed Practice,Hay Lodge Health Centre,Neidpath Road,Peebles,EH45 8JG,01721   720   601,17J,N,S08000016,S37000025,S01012253,Borders West
16230,Braeside Medical Practice,4906,Braeside Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   360,17J,N,S08000016,S37000025,S01012285,Borders central
16244,Glenfield Medical Practice,1998,Glenfield Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   363,17J,N,S08000016,S37000025,S01012285,Borders central
16259,Waverley Medical Practice,5007,Waverley Medical Practice,The Health Centre,Currie Road,Galashiels,TD1 2UA,01896   661   350,17J,N,S08000016,S37000025,S01012285,Borders central
16282,Duns Medical Group,3123,Duns Medical Group,The Knoll,Station Road,Duns,TD11 3EL,01361   885   040,17J,N,S08000016,S37000025,S01012305,Borders east
16475,Greenlaw Surgery,1415,Greenlaw Surgery,Duns Road,Greenlaw,Berwickshire,TD10 6XJ,01361   885   161,17J,N,S08000016,S37000025,S01012300,Borders east
16507,Eyemouth Medical Practice,6602,Eyemouth Medical Practice,The Health Centre,Houndlaw Park,Eyemouth,TD14 5DD,01890   750   383,17J,N,S08000016,S37000025,S01012316,Borders east
16545,Teviot Medical Practice,11307,Teviot Medical Practice,Teviot Road,Hawick,,TD9 9DT,01450   370   999,17C,N,S08000016,S37000025,S01012366,Borders south
16550,Stow & Lauder Health,4722,Stow & Lauder Health,Stow Health Centre,Station Road,Stow,TD1 2SQ,01896   661   440,17J,Y,S08000016,S37000025,S01012272,Borders central
16564,Earlston Medical Practice,3279,Earlston Medical Practice,Earlston Health Centre,Kidgate,Earlston,TD4 6DW,01896   848   333,17J,N,S08000016,S37000025,S01012269,Borders central
18057,Lochinch Practice,3108,Lochinch Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   935,17C,N,S08000017,S37000006,S01007492,Wigtownshire
18095,Loch Ree Practice,4596,Loch Ree Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   932,2C,N,S08000017,S37000006,S01007492,Wigtownshire
18112,Mull of Galloway Practice,725,Mull of Galloway Practice,Drummore,Stranraer,,DG9 9QQ,01776   840   205,17J,Y,S08000017,S37000006,S01007501,Wigtownshire
18151,Cairnsmore Medical Practice,3987,Cairnsmore Medical Practice,Health Centre,Creebridge,Newton Stewart,DG8 6NR,01671   403   609,17J,Y,S08000017,S37000006,S01007518,Wigtownshire
18184,Castle Douglas Medical Group,6653,Castle Douglas Medical Group,Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556   505   900,17J,N,S08000017,S37000006,S01007538,Stewartry
18199,Solway Medical Group,6470,Solway Medical Group,Health Centre,Kirkcudbright,,DG6 4BJ,01557   330   755,17J,Y,S08000017,S37000006,S01007527,Stewartry
18216,"Drs Oliver, Greeley &Innes",3965,"Drs Oliver, Greeley & Innes",Garden Hill Primary Care Centre,2 Garden Hill Road,Castle Douglas,DG7 3EE,01556   502   050,17J,N,S08000017,S37000006,S01007538,Stewartry
18235,Glenkens Medical Practice,1858,Glenkens Medical Practice,High Street,New Galloway,,DG7 3RN,01644   420   234,17J,Y,S08000017,S37000006,S01007550,Stewartry
18240,Dalbeattie Medical Practice,4921,Dalbeattie Medical Practice,Craignair Health Centre,Port Road,Dalbeattie,DG5 4AZ,01556   610   331,17J,N,S08000017,S37000006,S01007543,Stewartry
18254,Shebburn Medical Practice,2818,Shebburn Medical Practice,Shebburn Surgery,New Abbey,,DG2 8BY,01387   850   263,17J,Y,S08000017,S37000006,S01007595,Dumfries & Upper Nithsdale
18273,St Michaels Medical Centre,6667,St Michaels Medical Centre,St Michaels Bridge Road,Dumfries,,DG1 2PX,01387   244   950,17J,N,S08000017,S37000006,S01007611,Dumfries & Upper Nithsdale
18288,Lochthorn Medical Centre,3764,Lochthorn Medical Centre,Edinburgh Road,Dumfries,,DG1 1TR,01387   259   944,17J,N,S08000017,S37000006,S01007622,Dumfries & Upper Nithsdale
18305,Charlotte Medical Practice,9432,Charlotte Medical Practice,Lochfield Road Primary Care Centre,12-28 Lochfield Road,Dumfries,DG2 9BH,01387   267   626,17J,N,S08000017,S37000006,S01007585,Dumfries & Upper Nithsdale
18310,Gillbrae Medical Practice,13524,Gillbrae Medical Practice,Gillbrae Road,Dumfries,,DG1 4EJ,01387   246   282,17J,N,S08000017,S37000006,S01007609,Dumfries & Upper Nithsdale
18339,Thornhill Medical Practice,3838,Thornhill Medical Practice,Health Centre,Thornhill,Dumfriesshire,DG3 5AA,01848   330   208,17J,N,S08000017,S37000006,S01007561,Dumfries & Upper Nithsdale
18343,Cairn Valley Medical Practice,3928,Cairn Valley Medical Practice,Dunscore Health Centre,Dunscore,Dumfries,DG2 0UJ,01387   820   266,17J,Y,S08000017,S37000006,S01007564,Dumfries & Upper Nithsdale
18358,Alba Medical Group - Lockerbie,4503,Alba Medical Group - Lockerbie,Lockerbie Health Centre,Victoria Gardens,Lockerbie,DG11 2BJ,01576   205   502,17J,N,S08000017,S37000006,S01007636,Annandale & Eskdale
18377,Lochmaben Medical Group,5851,Lochmaben Medical Group,42-44 High Street,Lochmaben,,DG11 1NH,01387   810   215,17J,N,S08000017,S37000006,S01007632,Annandale & Eskdale
18396,Alba Medical Group - Moffat,5229,Alba Medical Group - Moffat,High Street,Moffat,,DG10 9JP,01683   220   062,17J,Y,S08000017,S37000006,S01007642,Annandale & Eskdale
18409,Greencroft South Medical Group,6560,Greencroft Medical Centre (South),Greencroft Wynd,Annan,,DG12 6GS,01461   202   244,17J,N,S08000017,S37000006,S01007661,Annandale & Eskdale
18413,Dr N G Kelly & Partners,7475,Dr N G Kelly & Partners,Greencroft Medical Centre (North),Greencroft Wynd,Annan,DG12 6GN,01461   202   745,17C,N,S08000017,S37000006,S01007661,Annandale & Eskdale
18428,Gretna Surgery,4914,Gretna Surgery,Central Avenue,Gretna,,DG16 5NA,01461   338   317,17J,N,S08000017,S37000006,S01007678,Annandale & Eskdale
18432,Canonbie Surgery,2144,Canonbie Surgery,Bowholm,Canonbie,,DG14 0UX,01387   371   313,17J,Y,S08000017,S37000006,S01007650,Annandale & Eskdale
18447,Langholm Medical Partnership,2848,Langholm Medical Partnership,Health Centre,Langholm,,DG13 0JY,01387   383   100,17J,N,S08000017,S37000006,S01007647,Annandale & Eskdale
18451,Ecclefechan Surgery,2949,Ecclefechan Surgery,The Surgery,Ecclefechan,Lockerbie,DG11 3BT,01576   300   208,17J,Y,S08000017,S37000006,S01007654,Annandale & Eskdale
18560,Greyfriars Medical Centre,11945,Greyfriars Medical Centre,33-37 Castle Street,Dumfries,,DG1 1DL,01387   257   752,17J,N,S08000017,S37000006,S01007612,Dumfries & Upper Nithsdale
18574,Sandhead Surgery,2462,Sandhead Surgery,Piggery Road,Sandhead,Wigtownshire,DG9 9DP,01776   830   262,17J,Y,S08000017,S37000006,S01007499,Wigtownshire
18589,Glenluce Surgery,2082,Glenluce Surgery,Four Winds,Glenluce,Wigtownshire,DG8 0PU,01581   300   315,17J,Y,S08000017,S37000006,S01007503,Wigtownshire
18593,Lochnaw Practice,4456,Lochnaw Practice,Waverley Medical Centre,Dalrymple Street,Stranraer,DG9 7DW,01776   743   930,2C,N,S08000017,S37000006,S01007492,Wigtownshire
18611,Southern Machars Practice,3168,Southern Machars Practice,3 St. John Street,Whithorn,,DG8 8PS,01988   500   218,2C,Y,S08000017,S37000006,S01007511,Wigtownshire
18625,Galloway Hills Medical Practice,4469,Galloway Hills Medical Practice,Newton Stewart Health Centre,Creebridge,Newton Stewart,DG8 6NR,01671   402   168,17J,Y,S08000017,S37000006,S01007518,Wigtownshire
18630,Upper Nithsdale Group Practice,4525,Upper Nithsdale Group Practice,Health Centre,Station Road,Sanquhar,DG4 6BT,01659   502   21,17J,N,S08000017,S37000006,S01007555,Dumfries & Upper Nithsdale
20004,Anstruther Medical Practice,6275,Skeith Health Centre,"Crail Road, Cellardyke",Anstruther,Fife,KY10 3FF,01333   310   352,17J,N,S08000029,S37000032,S01009708,North East Fife
20057,Auchtermuchty Practice,5702,Auchtermuchty Practice,Auchtermuchty Health Centre,12 Carswell Wynd,Auchtermuchty,KY14 7AW,01337   828   262,17J,Y,S08000029,S37000032,S01009673,North East Fife
20108,Muiredge Surgery,8059,Muiredge Surgery,Merlin Crescent,Buckhaven,Fife,KY8 1HJ,01592   713   299,17J,N,S08000029,S37000032,S01009623,Levenmouth
20151,Burntisland Medical Group,5395,Burntisland Health Centre,74 Somerville Street,Burntisland,Fife,KY3 9DF,01592   872   761,17J,N,S08000029,S37000032,S01009459,Kirkcaldy
20184,The Links Practice,1839,The Links Practice,"The Health Centre, 74 Somerville Street",BURNTISLAND,Fife,KY3 9DF,01592   873   321,2C,N,S08000029,S37000032,S01009459,Kirkcaldy
20254,Wallsgreen Medical Practice,3047,Wallsgreen Medical Practice,The Health Centre,Wallsgreen Road,Cardenden,KY5 0JE,01592   722   440,17J,N,S08000029,S37000032,S01009440,Cowdenbeath
20305,Cowdenbeath Surgery,11419,Cowdenbeath Surgery,Cowdenbeath Medical Practice,173 Stenhouse Street,Cowdenbeath,KY4 9DH,01383   518   500,17J,N,S08000029,S37000032,S01009415,Cowdenbeath
20358,Crossgates Medical Practice,4256,Crossgates Medical Practice,94 Main Street,Crossgates,Fife,KY4 8DF,01383   511   398,17J,N,S08000029,S37000032,S01009406,Cowdenbeath
20409,Eden Villa Practice,7396,Eden Villa Practice,The Health Centre,Bank Street,Cupar,KY15 4JN,01334   651   223,17J,N,S08000029,S37000032,S01009687,North East Fife
20413,Bank Street Medical Group,7900,Bank Street Medical Group,The Health Centre,Bank Street,Cupar,KY15 4JN,01334   651   201,17J,N,S08000029,S37000032,S01009687,North East Fife
20451,Nethertown Surgery,11312,Nethertown Surgery,Elliot Street,Dunfermline,Fife,KY11 4TF,01383   623   516,17J,N,S08000029,S37000032,S01009312,Dunfermline
20466,New Park Medical Practice,12094,New Park Medical Practice,163 Robertson Road,Dunfermline,Fife,KY12 0BL,01383   629   200,17J,N,S08000029,S37000032,S01009325,Dunfermline
20471,Hospital Hill Surgery,8710,Hospital Hill Surgery,Izatt Avenue,Dunfermline,Fife,KY11 3BA,01383   731   721,17J,N,S08000029,S37000032,S01009360,Dunfermline
20485,Millhill Surgery,8662,Millhill Surgery,87 Woodmill Street,Dunfermline,Fife,KY11 4JW,01383   621   222,17J,N,S08000029,S37000032,S01009309,Dunfermline
20490,Bellyeoman Surgery,10796,Bellyeoman Surgery,Bellyeoman Road,Dunfermline,Fife,KY12 0AE,01383   721   266,17J,N,S08000029,S37000032,S01009303,Dunfermline
20502,Linburn Road Health Centre,9086,Linburn Road Health Centre,124 Nith Street,Dunfermline,Fife,KY11 4LT,01383   733   490,2C,N,S08000029,S37000032,S01009338,Dunfermline
20606,The Lomond Practice,10237,The Lomond Practice,Napier Road,Glenrothes,Fife,KY6 1HL,01592   765   039,17J,N,S08000029,S37000032,S01009562,Glenrothes
20611,North Glen Medical Practice,8463,North Glen Medical Practice,1 Huntsman'S Court,Glenrothes,Fife,KY7 6SX,01592   620   062,17C,N,S08000029,S37000032,S01009600,Glenrothes
20630,The Glenwood Practice,6197,The Glenwood Practice,Glenwood Health Centre,Napier Road,Glenrothes,KY6 1HL,01592   765   001,17J,N,S08000029,S37000032,S01009562,Glenrothes
20659,Cos Lane Surgery,9041,Cos Lane Surgery,Woodside Road,Glenrothes,Fife,KY7 4AQ,01592   752   100,17J,N,S08000029,S37000032,S01009584,Glenrothes
20663,Rothes Medical Practice,8777,Rothes Medical Practice,Pitteuchar Health Centre,Glamis Centre,Glenrothes,KY7 4RH,01592   771   177,17J,N,S08000029,S37000032,S01009586,Glenrothes
20729,Valleyfield Medical Practice,4067,Valleyfield Medical Practice,The Health Centre,Chapel Street,High Valleyfield,KY12 8SJ,01383   880   511,17J,N,S08000029,S37000032,S01009280,South West Fife
20752,Inverkeithing Medical Group,18290,Inverkeithing Medical Group,Inverkeithing Medical Centre,5 Friary Court,Inverkeithing,KY11 1NU,01383   413   234,17C,N,S08000029,S37000032,S01009389,South West Fife
20803,Kelty Medical Practice,7312,Kelty Medical Practice,Kelty Health Centre,80 Main Street,Kelty,KY4 0AE,01383   831   281,17J,N,S08000029,S37000032,S01009424,Cowdenbeath
20856,Kennoway Medical Group,4162,Kennoway Medical Group,Jordan Lane,Kennoway,Fife,KY8 5JZ,01333   350   241,17J,N,S08000029,S37000032,S01009657,Levenmouth
20907,Kinghorn Medical Practice,3313,Kinghorn Medical Practice,Rossland Place,Kinghorn,Fife,KY3 9RT,01592   890   217,2C,N,S08000029,S37000032,S01009469,Kirkcaldy
20950,Nicol Street Surgery,6265,Nicol Street Surgery,48 Nicol Street,Kirkcaldy,Fife,KY1 1PH,01592   642   969,17J,N,S08000029,S37000032,S01009480,Kirkcaldy
20964,"Drs McKenna, Murphy & McCallum",6968,"Drs McKenna, Murphy & McCallum",Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592   642   902,17J,N,S08000029,S37000032,S01009522,Kirkcaldy
20979,Bennochy Medical Centre,9285,Bennochy Medical Centre,65 Bennochy Road,Kirkcaldy,Fife,KY2 5RB,01592   263   332,17J,N,S08000029,S37000032,S01009486,Kirkcaldy
20983,St Brycedale Surgery,7428,St Brycedale Surgery,St Brycedale Road,Kirkcaldy,Fife,KY1 1ER,01592   640   800,17J,N,S08000029,S37000032,S01009479,Kirkcaldy
20998,Path House Medical Practice,11058,Path House Medical Practice,7 Nether Street,Kirkcaldy,Fife,KY1 2PG,01592   805   100,17J,N,S08000029,S37000032,S01009526,Kirkcaldy
21007,"Drs Dixon, Duggan, Egerton, MacKernan, McCrickard & Walker",7782,"Drs Dixon, Duggan, Egerton, MacKernan, McCrickard & Walker",Kirkcaldy Health Centre,Whyteman'S Brae,Kirkcaldy,KY1 2NA,01592   642   178,17J,N,S08000029,S37000032,S01009522,Kirkcaldy
